time_ms,position,velocity
20,18,18
40,66,48
60,130,64
80,205,75
100,285,80
120,369,84
140,455,86
160,542,87
180,631,89
200,720,89
220,809,89
240,899,90
260,989,90
280,1079,90
300,1169,90
320,1259,90
340,1350,91
360,1440,90
380,1530,90
400,1620,90
420,1710,90
440,1800,90
460,1890,90
480,1980,90
500,2070,90
520,2160,90
540,2250,90
560,2340,90
580,2431,91
600,2521,90
620,2611,90
640,2702,91
660,2792,90
680,2883,91
700,2974,91
720,3064,90
740,3155,91
760,3246,91
780,3337,91
800,3428,91
820,3518,90
840,3609,91
860,3700,91
880,3791,91
900,3882,91
920,3973,91
940,4064,91
960,4154,90
980,4245,91
1000,4336,91
1020,4424,88
1040,4508,84
1060,4588,80
1080,4665,77
1100,4737,72
1120,4807,70
1140,4873,66
1160,4935,62
1180,4995,60
1200,5051,56
1220,5104,53
1240,5154,50
1260,5201,47
1280,5246,45
1300,5287,41
1320,5326,39
1340,5362,36
1360,5395,33
1380,5425,30
1400,5454,29
1420,5479,25
1440,5503,24
1460,5523,20
1480,5542,19
1500,5558,16
1520,5572,14
1540,5584,12
1560,5594,10
1580,5601,7
1600,5606,5
1620,5610,4
1640,5610,0
1660,5610,0
1680,5610,0
1700,5610,0
1720,5610,0
1740,5610,0
1760,5610,0
1780,5610,0
1800,5610,0
1820,5610,0
1840,5610,0
1860,5610,0
1880,5610,0
1900,5610,0
1920,5610,0
1940,5610,0
1960,5610,0
1980,5610,0
